city	time	so2	pm10	no2	nox	co	no	pm25	p	t	rh
Belgrade	05/01/2021	14.42	37.3	23.32	47.81	1.14	15.66	33.86	1002.36	6.21	90.54
Belgrade	06/01/2021	14.43	18.48	26.07	40.76	1.04	9.72	15.22	1002.37	8.7	70.01
Belgrade	07/01/2021	10.71	23.2	16.86	23.66	1.04	4.43	21.17	1005.67	6.19	75.63
Belgrade	08/01/2021	10.67	26.45	24.72	53.69	1.11	18.71	25.68	1005.31	3.25	89.38
Belgrade	09/01/2021	9.79	49.95	27.03	68.5	1.3	26.96	47.37	1011.62	0.94	86.33
Belgrade	10/01/2021	8.45	34.14	16.31	26.15	1.14	6.37	33.65	1012.31	-0.1	92.25
Belgrade	11/01/2021	9.94	46.2	31.89	85.67	1.3	34.88	44.48	1011.11	-0.26	92.83
Belgrade	12/01/2021	10.24	53.14	30.85	78.64	1.41	31.51	52.18	1007.38	-0.01	91.89
Belgrade	13/01/2021	11.2	35.5	32.71	73.94	1.33	27.26	34.6	1004.42	1.72	79.91
Belgrade	14/01/2021	14.42	23.85	28.75	57.87	1.15	18.97	17.19	1002.07	1.53	71.71
Belgrade	15/01/2021	10.06	24.76	27.1	69.2	1.2	28.23	21.02	1008.72	0.34	77.99
Belgrade	16/01/2021	9.24	30.9	25.63	57.15	1.25	20.59	27.1	1011.22	-1.79	78.45
Belgrade	17/01/2021	8.84	26.88	21.58	41.24	1.16	12.85	25.51	1009.99	-2.27	85.52
Belgrade	18/01/2021	9.47	47.28	31.27	65.66	1.32	22.26	35.03	1015.5	-2.54	75.16
Belgrade	19/01/2021	17.57	42.91	31.22	53.42	1.27	14.43	26.05	1013.9	3.7	57.48
Belgrade	20/01/2021	24.61	20.41	19.67	27.68	1.14	5.25	12.86	1009.96	9.47	50.44
Belgrade	21/01/2021	13.91	30.48	33.63	50.73	1.2	11.25	15.19	1007	11.56	51.76
Belgrade	22/01/2021	17.4	32.86	32.8	54.59	1.22	14.23	16.73	1000.13	12.08	55.38
Belgrade	23/01/2021	16.5	19.42	15.63	21.33	1.11	3.74	11.38	991.6	11.77	59.23
Belgrade	24/01/2021	15.01	12.12	13.95	19.57	1.13	3.63	8.75	987.78	10.72	62.49
Belgrade	25/01/2021	12.11	23.13	24.32	42.56	1.22	11.47	14.61	993.24	3.72	79.71
Belgrade	26/01/2021	11.33	28.84	25.22	56.04	1.26	19.68	23.03	1002.49	2.42	77.51
Belgrade	27/01/2021	10.42	24.51	24.87	56.01	1.28	20.07	21.33	1006.02	1.52	78.72
Belgrade	28/01/2021	16.56	38.82	32.33	58.47	1.37	17.12	22.95	1003	3.19	64.31
Belgrade	29/01/2021	20.21	32.76	36.9	84.61	1.3	31	20.83	993.52	9.06	69.09
Belgrade	30/01/2021	18.36	30.71	33.15	74.91	0.48	27.46	17.18	990.91	10.69	69.97
Belgrade	31/01/2021	13.46	23.9	15.29	23.5	0.37	5.39	22.87	992.22	3.55	90.04
Belgrade	01/02/2021	12.36	32.01	31.68	67.53	0.49	23.44	31.17	994.37	0.96	93.81
Belgrade	02/02/2021	15.18	56.78	32.82	68.04	0.64	22.9	51.93	1003.1	3.23	90.71
Belgrade	03/02/2021	23.86	51.3	43.38	137.18	0.83	61.38	37.32	1003.49	9.21	72.77
Belgrade	04/02/2021	30.68	7.16	8.79	13.19	0.21	2.87	5.64	1002.08	14.88	52.42
Belgrade	05/02/2021	18.91	58.57	53.12	165.14	0.75	99.04	28.74	1006.72	13.86	58.13
Belgrade	06/02/2021	23.6	67.52	51.87	173.22	0.87	79.22	46.09	1002.6	13.72	61.63
Belgrade	07/02/2021	18.78	54.06	25.29	50.87	0.56	16.84	41.3	993.62	11.9	62.8
Belgrade	08/02/2021	15.72	18.55	24.7	56.32	0.46	20.66	15.81	986.98	8.75	80.81
Belgrade	09/02/2021	15.06	25.33	22.75	37.86	0.45	9.67	22	992.49	9.23	82.01
Belgrade	10/02/2021	14.09	22.82	22.61	36.7	0.44	9.2	20.71	993.97	9.74	86.03
Belgrade	11/02/2021	11.66	28.7	20.64	42.77	0.45	14.27	25.48	1005.29	0.7	74.95
Belgrade	12/02/2021	10.35	28.12	28.85	64.04	0.45	23.48	19.99	1020.73	-4.67	58.13
Belgrade	13/02/2021	9.82	38.95	27.07	55.83	0.53	18.86	30.71	1025.15	-5.26	60.84
Belgrade	14/02/2021	9.35	37.7	20.43	40.8	0.54	13.17	31.66	1026.41	-2.06	66.07
Belgrade	15/02/2021	8.66	30.74	23.52	45.21	0.52	14.61	21.84	1026.66	-0.42	57.95
Belgrade	16/02/2021	49.3	43.23	35.24	60.41	0.65	16.37	31.88	1018.47	1.68	45.29
Belgrade	17/02/2021	21.11	57.02	39.49	92.84	0.78	34.62	41.61	1010.94	4.48	60.62
Belgrade	18/02/2021	13.22	49.04	37.83	110.95	0.71	47.46	26.44	1012.66	7.83	69.93
Belgrade	19/02/2021	34.39	58.25	45.01	104.73	0.86	38.93	40.29	1013.51	9.54	59.48
Belgrade	20/02/2021	13.33	47.59	23.14	41.19	0.62	11.86	42.29	1016.59	7.27	78.64
Belgrade	21/02/2021	13.89	40.12	19.17	26.91	0.6	4.96	36.91	1018.96	7.3	74.77
Belgrade	22/02/2021	24.16	94.93	56.88	222.03	1.43	151.12	70.02	1018.92	9.67	66.39
Belgrade	23/02/2021	17.57	76.25	52.9	197.59	1.17	93.9	56.56	1023.05	11.65	64.29
Belgrade	24/02/2021	13.33	82.92	46.82	144.6	1	64.44	66.45	1026.98	9.64	74.11
Belgrade	25/02/2021	16.98	92.21	52.8	217.12	1.18	107.22	68.21	1023.15	12.74	61.71
Belgrade	26/02/2021	29.43	115.79	67.69	224.65	1.47	102.65	75.73	1016.52	13.56	61.22
Belgrade	27/02/2021	19.94	79.99	31.33	78.68	0.79	30.45	52.18	1016.39	9.96	67.65
